_id,utm_medium,app__os
8cb7ad45ce,invite,android
fcb1f48869,invite,iOS
be39344666,invite,android
2b01094881,organic,iOS
cb16782b56,invite,iOS
d67c2fb89e,invite,android
b96f64bde8,invite,android
0641823ca2,invite,iOS
b50c5691f9,invite,iOS
eee9afaf6e,invite,iOS
4a1ba14d05,invite,iOS
224449b195,invite,android
3c7733f779,invite,iOS
bd5c38b2b9,invite,android
7f772af701,invite,iOS
a2f5d126b6,invite,iOS
660c4366ef,invite,iOS
9025449028,invite,iOS
dbb6f39e0c,blogger,android
ea0aea834b,invite,iOS
037046367c,invite,iOS
e532159645,email,iOS
d06cc2e9e0,organic,android
68fe09dd0e,invite,android
3f4701ab67,cross-promotion,iOS
46bf91ccab,invite,android
b540865e66,invite,android
3a5c79cad9,invite,iOS
bca74eb3d9,invite,android
198e731b82,affiliate,android
7a641b4a5c,invite,android
4d602db338,organic,web
d97b0b39e0,invite,iOS
29814abbf6,invite,iOS
19f9f2629f,cpc,android
1edeeedfd1,invite,iOS
d45e0fe32e,invite,iOS
461d9ba8ff,invite,android
aaad83c5e3,invite,iOS
97d5316f08,invite,android
e0fb7b9d01,invite,android
98a45c98e4,invite,iOS
7dfa6782a4,invite,iOS
ffb8847560,invite,android
f6624a64f5,invite,android
fdc556234a,invite,android
222b4cbfcc,invite,iOS
e54d71314b,invite,android
3bc4501b5d,invite,android
657e990b4a,invite,iOS
12940dd183,others,iOS
8a821b7269,affiliate,iOS
14469bebd3,invite,android
d7192fb272,cross-promotion,android
879cfbdc13,affiliate,iOS
25a8a93b85,invite,iOS
d4cd261c9a,invite,iOS
212e66cc50,invite,android
63af4f0711,invite,iOS
762ebfd5e7,invite,android
7fcd621dce,invite,android
ea695c561e,invite,android
47195b1ef2,invite,iOS
1079862121,invite,iOS
f79cf1f87a,invite,iOS
8aa4189207,invite,iOS
cafda3880f,invite,android
390500ebbc,invite,iOS
aa0bc1c802,invite,iOS
8dca982d30,invite,android
0511aab1db,cross-promotion,android
e0e5f157ec,invite,android
10b9e736f1,invite,iOS
7a0c2dea36,invite,android
566de69252,invite,iOS
b272ca5fd7,invite,iOS
8eb8b49757,invite,iOS
a0963f3801,invite,android
d406b0ad0c,organic,android
98f3d71142,email,iOS
fdcd95fb13,invite,android
bab1558a60,invite,iOS
49a82c05c7,invite,android
3a83ddaf4d,invite,android
0aeceadf05,invite,iOS
bd6f7bb338,invite,android
48f0f32942,invite,iOS
aead6981ca,invite,iOS
ebf265263e,invite,android
870279e5a0,invite,iOS
3bf06e0447,affiliate,android
8754df8e26,invite,iOS
a33fc841a8,invite,iOS
7febe6f1e4,invite,iOS
ecbb7cfc89,invite,android
d96360ea1e,invite,android
f92f787344,invite,iOS
61f654e338,invite,iOS
8ac6c219da,invite,iOS
6e07a7b557,invite,android
8b2c46d066,organic,iOS
51d920fd8d,invite,iOS
0a297c4348,invite,iOS
850bc8e0a3,invite,iOS
0bcee33901,invite,Win32NT
15c5f279de,invite,android
dcd3fe0f0c,invite,iOS
3249669619,invite,android
7cedd8b11f,invite,iOS
134bd40eef,organic,iOS
4a0c565ad4,organic,iOS
50f34ab229,invite,iOS
0c738a9367,invite,android
7f1987cf04,invite,android
5951a9a909,invite,android
17f227d0b3,invite,iOS
1aef00f747,invite,iOS
408aa358bc,organic,iOS
23c121eb3c,invite,iOS
675cc447a5,invite,iOS
70e90a5e27,invite,android
e6c47f92b1,invite,iOS
029b5d4e7f,invite,iOS
55497be6e7,invite,android
5cb8677c10,invite,iOS
c6c0c32732,organic,iOS
649b428587,organic,android
21f585e09f,invite,android
bc75756eab,invite,android
d98da5c5ff,invite,android
865bf729ff,invite,iOS
72d5d1c2d6,invite,android
100d5c3cf5,invite,iOS
10fbc0a7db,invite,iOS
fab08c9996,invite,iOS
aafc18f484,invite,iOS
